Reference, Value, Footprint, Datasheet, Part Number
U3,MDBT42Q,detect_trigger:mdbt42Q,http://www.raytac.com/download/MDBT42/MDBT42Q-Version%20B.pdf
C11,300p,Capacitors_SMD:C_0805,
BT1,2xAAA,detect_trigger:AAA_holder_2468,http://www.keyelco.com/product-pdf.cfm?p=1033,2468
U2,PIR,detect_trigger:PIR_TO5,http://www.micropik.com/PDF/D203B-e.pdf http://www.perkinelmer.com/PDFs/Downloads/DTS_LHi968_PYD1398.pdf,D203B LHi968
R4,100E,Resistors_SMD:R_0805,
R9,47k,Resistors_SMD:R_0805,
C3,100n,Capacitors_SMD:C_0805,
R10,47k,Resistors_SMD:R_0805,
C4,22u,Capacitors_SMD:C_1206,
C6,22u,Capacitors_SMD:C_1206,
U1,PIR,detect_trigger:PIR_TO5,
R1,100E,Resistors_SMD:R_0805,
R7,47k,Resistors_SMD:R_0805,
C1,100n,Capacitors_SMD:C_0805,
R8,47k,Resistors_SMD:R_0805,
C2,22u,Capacitors_SMD:C_1206,
C9,100n,Capacitors_SMD:C_0805,
C5,1u,Capacitors_SMD:C_0805,
L2,10u,Capacitors_SMD:C_0805,
L1,15n,Capacitors_SMD:C_0603,
C7,1u,Capacitors_SMD:C_0805,
AE1,NFC_Antenna,Connect:GS2,
C12,300p,Capacitors_SMD:C_0805,
C8,8p,Capacitors_SMD:C_0805,
C10,8p,Capacitors_SMD:C_0805,
D1,HSMF-C157,detect_trigger:HSMF-C15x,http://www.farnell.com/datasheets/1676973.pdf,HSMF-C157
R11,100E,Resistors_SMD:R_0805,
R12,100E,Resistors_SMD:R_0805,
P1,CONN_02X05,detect_trigger:Berg_5x2Conn,
Q1,TSM2301,detect_trigger:TSM2301,http://www.farnell.com/datasheets/2044652.pdf,TSM2301CX
R5,47k,Resistors_SMD:R_0805,
R2,47k,Resistors_SMD:R_0805,
R6,47k,Resistors_SMD:R_0805,
R3,47k,Resistors_SMD:R_0805,
X1,ABS25,detect_trigger:ABS25-32.768,http://www.abracon.com/Resonators/abs25.pdf,ABS25-32.768KHZ-6-T
P2,TST,Mounting_Holes:MountingHole_4.3mm_M4,
P3,TST,Mounting_Holes:MountingHole_4.3mm_M4,
P4,TST,Mounting_Holes:MountingHole_4.3mm_M4,
P5,TST,Mounting_Holes:MountingHole_4.3mm_M4,
