Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,Battery-sense_rev3-sense_rev4-rescue-sense_rev4-rescue,BT1,Battery,Molex_KK-6410-02_02x2.54mm_Straight,1,
2,,C-sense_rev3-sense_rev4-rescue-sense_rev4-rescue,C5 C11 C14 C15,100nF,C_0603_HandSoldering,4,
3,,C-sense_rev3-sense_rev4-rescue-sense_rev4-rescue,C12,100pF,C_0603_HandSoldering,1,
4,,C-sense_rev3-sense_rev4-rescue-sense_rev4-rescue,C1,10uF,C_0805_HandSoldering,1,
5,,C-sense_rev3-sense_rev4-rescue-sense_rev4-rescue,C2 C3,1uF,C_0603_HandSoldering,2,
6,,C-sense_rev3-sense_rev4-rescue-sense_rev4-rescue,C7 C8 C13,22uF,C_0805_HandSoldering,3,
7,,C-sense_rev3-sense_rev4-rescue-sense_rev4-rescue,C9 C10,6.8nF,C_0603_HandSoldering,2,
8,,C-sense_rev3-sense_rev4-rescue-sense_rev4-rescue,C4 C6,8pF,C_0603_HandSoldering,2,
9,,LED_GREEN_RED-RESCUE-sense_rev4-sense_rev4-rescue-sense_rev4-rescue-sense_rev4-rescue,D1,XZMDKVG45S,XZMDKVG45S(V4-X),1,
10,,Audio-Jack-4-RESCUE-sense_rev4-sense_rev4-rescue-sense_rev4-rescue-sense_rev4-rescue,J1,Audio-Jack-4,Molex_KK-6410-04_04x2.54mm_Straight,1,
11,,INDUCTOR_SMALL-sense_rev3-sense_rev4-rescue-sense_rev4-rescue,L2,10nH,L_0603_HandSoldering,1,
12,,INDUCTOR_SMALL-sense_rev3-sense_rev4-rescue-sense_rev4-rescue,L1,15nH,L_0603_HandSoldering,1,
13,,CONN_02X05-sense_rev3-sense_rev4-rescue-sense_rev4-rescue,P1,CONN_02X05,prog_connect,1,
14,,Q_PMOS_DGS-RESCUE-sense_rev4-sense_rev4-rescue-sense_rev4-rescue-sense_rev4-rescue,Q1,TSM2301,SOT-23_Handsoldering,1,
15,,R-sense_rev3-sense_rev4-rescue-sense_rev4-rescue,R3 R4 R7 R8,1M5,R_0603_HandSoldering,4,
16,,R-sense_rev3-sense_rev4-rescue-sense_rev4-rescue,R1 R2,33E,R_0603_HandSoldering,2,
17,,R-sense_rev3-sense_rev4-rescue-sense_rev4-rescue,R5 R6 R9 R10 R12,33k,R_0603_HandSoldering,5,
18,,R-sense_rev3-sense_rev4-rescue-sense_rev4-rescue,R11,47k,R_0603_HandSoldering,1,
19,,SW_SPST-sense_rev3-sense_rev4-rescue-sense_rev4-rescue,SW1,SW_SPST,Molex_KK-6410-02_02x2.54mm_Straight,1,
20,,MCP4012T-503E_CH-RESCUE-sense_rev4-sense_rev4-rescue-sense_rev4-rescue-sense_rev4-rescue,U4,MCP4012T-503E/CH,SOT-23-6_Handsoldering,1,
21,,MDBT42Q-sense_rev3-sense_rev4-rescue-sense_rev4-rescue,U1,MDBT42Q,mdbt42Q,1,
22,,PIR-sense_rev3-sense_rev4-rescue-sense_rev4-rescue,U2,PIR,PIR_TO5,1,
23,,TLV8802-RESCUE-sense_rev4-sense_rev4-rescue-sense_rev4-rescue-sense_rev4-rescue,U3,TLV8802,SSOP-8_2.95x2.8mm_Pitch0.65mm,1,
24,,Crystal-sense_rev3-sense_rev4-rescue-sense_rev4-rescue,Y1,Crystal,Crystal_C38-LF_d3.0mm_l8.0mm_Horizontal,1,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Component Groups:,24,,,,,,
Component Count:,40,,,,,,
Fitted Components:,40,,,,,,
Number of PCBs:,1,,,,,,
Total components:,40,,,,,,
Schematic Version:,,,,,,,
Schematic Date:,,,,,,,
BoM Date:,04/10/18 19:14:46,,,,,,
Schematic Source:,D:\Shubham_M\Appiko\GitHub\sense_snap_hw\sense_rev4\sense_rev4.sch,,,,,,
KiCad Version:,Eeschema (5.0-dev-4140-g2e42d5c00),,,,,,
