"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"AA_keystone_206";1;"AA battery";;;
2;"SW1";"SW_SPST_B3SL-1002P";1;"TL3304AF260QJ";;;
3;"D2";"IR26-21C-L110";1;"IR26-21C-L110-TR8";;;
4;"D1";"LED_RGB_5050-6";1;"CLX6F-FKC";;;
5;"R5";"R_0805";1;"68";;;
6;"P1";"prog_connect";1;"CONN_02X05";;;
7;"U2";"mdbt42Q";1;"MDBT42Q";;;
8;"U1";"WSON6_1.5x1.5mm_Pitch0.5mm";1;"TPS610986";;;
9;"R7";"R_0805";1;"130";;;
10;"R6";"R_0805";1;"33";;;
11;"R4";"R_0805";1;"82";;;
12;"R3,R1";"R_0805";2;"400";;;
13;"R2";"R_0805";1;"47k";;;
14;"Q1";"TSM2301";1;"TSM2301";;;
15;"MK1,MK2";"MountingHole_1.7mm_M1.6";2;"Mounting_Hole_PAD";;;
16;"L3";"C_0805";1;"4.7u";;;
17;"L2,C8,C2";"C_0805";3;"10u";;;
18;"L1";"C_0603";1;"15n";;;
19;"C7,C5";"C_0603";2;"8.2p";;;
20;"C6,C3";"C_0805";2;"100n";;;
21;"C4,C1";"C_0805";2;"1u";;;
22;"J1";"SJ2-35863B1-SMT";1;"SJ2-35863B1";;;
23;"Y1";"Crystal_C38-LF_d3.0mm_l8.0mm_Horizontal";1;"32786Hz";;;
