Reference Type, Quantity, Reference, Value, Footprint, Datasheet, Rating, Part Number, manf#
"BT","1","BT1,","AA battery","snap_fp:AA_keystone_206","http://www.keyelco.com/product-pdf.cfm?p=847"
"C","2","C6,C3,","100n","snap_fp:C_0805",""
"C","2","C5,C7,","8.2p","snap_fp:C_0603",""
"C","2","C1,C4,","1u","snap_fp:C_0805",""
"C","2","C2,C8,","10u","snap_fp:C_0805","",">10V","",""
"D","1","D1,","CLX6F-FKC","snap_fp:LED_RGB_5050-6","https://d114hh0cykhyb0.cloudfront.net/pdfs/5050-RGB.pdf","","CLX6F-FKC","Value"
"D","1","D2,","IR26-21C-L110-TR8","snap_fp:IR26-21C-L110","http://www.everlight.com/file/ProductFile/IR26-21C-L110-TR8.pdf"
"J","1","J1,","SJ2-35863B1","snap_fp:SJ2-35863B1-SMT","http://www.cui.com/product/resource/digikeypdf/sj2-3586x-smt.pdf"
"L","1","L1,","15n","snap_fp:C_0603",""
"L","1","L3,","4.7u","snap_fp:C_0805",""
"L","1","L2,","10u","snap_fp:C_0805",""
"MK","2","MK1,MK2,","Mounting_Hole_PAD","snap_fp:MountingHole_1.7mm_M1.6",""
"P","1","P1,","CONN_02X05","snap_fp:prog_connect",""
"Q","1","Q1,","TSM2301","snap_fp:TSM2301","http://www.farnell.com/datasheets/2044652.pdf","","TSM2301CX",""
"R","1","R6,","33","snap_fp:R_0805",""
"R","1","R5,","68","snap_fp:R_0805",""
"R","1","R4,","82","snap_fp:R_0805",""
"R","1","R7,","130","snap_fp:R_0805",""
"R","2","R1,R3,","400","snap_fp:R_0805",""
"R","1","R2,","47k","snap_fp:R_0805",""
"SW","1","SW1,","TL3304AF260QJ","snap_fp:SW_SPST_B3SL-1002P","https://www.digikey.com/product-detail/en/e-switch/TL3304AF260QJ/EG4377TR-ND/1144802","","","Value"
"U","1","U2,","MDBT42Q","snap_fp:mdbt42Q","http://www.raytac.com/download/MDBT42/MDBT42Q-Version%20B.pdf"
"U","1","U1,","TPS610986","snap_fp:WSON6_1.5x1.5mm_Pitch0.5mm","http://www.ti.com/lit/ds/symlink/tps610985.pdf","","TPS610986",""
"Y","1","Y1,","32786Hz","snap_fp:Crystal_C38-LF_d3.0mm_l8.0mm_Horizontal","https://www.ecsxtal.com/store/pdf/ECS-3x8X%202x6X%201X5X.pdf","","","Value"
